,date,marketcap,price,txVol,meanFee
7,2017-10-01,0.0,0.021678,436003334.53699994,0.0940474111757106
8,2017-10-02,596765346.775,0.024607,1025157737.96,0.10739877777777777
9,2017-10-03,667797139.712,0.025757,604612406.44,0.10081912776548674
10,2017-10-04,540954733.002,0.020863999999999997,207884312.824,0.06978899185098952
11,2017-10-05,569117180.3709999,0.021951,411326650.275,0.13143775272422464
12,2017-10-06,553779286.236,0.021359,312314745.455,0.12879569966254217
13,2017-10-07,477418796.67,0.018414,185266331.51900002,0.12204346348733235
14,2017-10-08,542632959.348,0.020929,214142599.597,0.13399350957290132
15,2017-10-09,527453167.687,0.020344,163939625.745,0.12917068382352942
16,2017-10-10,573307371.873,0.022112,211980536.346,0.12202512272727274
17,2017-10-11,556901110.311,0.021480000000000003,147429298.943,0.12665389587073608
18,2017-10-12,584346541.285,0.022538,191961300.242,0.12834358482142857
19,2017-10-13,675685385.315,0.026061,243264094.95299998,0.14112688363171355
20,2017-10-14,878302735.8310001,0.033875999999999996,379080551.684,0.15292508709677421
21,2017-10-15,852315171.298,0.032874,280089467.037,0.14396812947658402
22,2017-10-16,776235927.408,0.029939,229827474.898,0.14874264376996804
23,2017-10-17,750680263.2919999,0.028952999999999996,305513404.208,0.15595810164424512
24,2017-10-18,705701001.385,0.027219,464452866.206,0.15674782868525897
25,2017-10-19,692353930.3239999,0.026704000000000002,206818645.137,0.15448481716417908
26,2017-10-20,699559649.2739999,0.026982,189373019.895,0.15885779716312057
27,2017-10-21,798714952.334,0.030806,154653813.895,0.14620580968858132
28,2017-10-22,740601428.6489999,0.028564999999999997,128926681.22700001,0.14667675435203092
29,2017-10-23,717753741.753,0.027683999999999997,65490614.3749,0.14273274496644298
30,2017-10-24,656958792.531,0.025338999999999997,131859234.35700001,0.15918440756302518
31,2017-10-25,701028866.222,0.027038,119840361.528,0.15597334606741575
32,2017-10-26,710629837.595,0.027408999999999996,114449869.941,0.15569064568764568
33,2017-10-27,703603506.748,0.027138,86978314.2657,0.15562289333333335
34,2017-10-28,682895750.772,0.026338999999999998,83751961.3979,0.15832531720430107
35,2017-10-29,669719817.798,0.025831,72005519.9121,0.14939398540145984
36,2017-10-30,734200214.35,0.028318,3379714002.53,0.16306607291666667
37,2017-10-31,740152241.675,0.028547000000000003,296413605.695,0.1613161996805112
38,2017-11-01,755184354.5760001,0.029126999999999997,149875308.518,0.16584381707317072
39,2017-11-02,598368052.295,0.023079,91767593.5423,0.16399629694323145
40,2017-11-03,555308450.9990001,0.021418,52618111.8523,0.1589030371352785
41,2017-11-04,587017469.537,0.022640999999999998,51279920.9842,0.15606891549295776
42,2017-11-05,571795614.1240001,0.022054,55581018.1343,0.15906077572559366
43,2017-11-06,543872158.252,0.020977000000000003,62292930.5621,0.16699889830508474
44,2017-11-07,566395126.695,0.021846,58612520.08,0.15843439800995027
45,2017-11-08,568113970.003,0.021912,45269129.9648,0.16283501123595506
46,2017-11-09,652323059.397,0.02516,85053955.8293,0.16204843367346938
47,2017-11-10,835350445.85,0.032219,183850727.368,0.16125050457038392
48,2017-11-11,697207394.892,0.026891,44345210.3937,0.15720960179640717
49,2017-11-12,712475898.0519999,0.02748,123441913.74200001,0.1554394847715736
50,2017-11-13,631677356.387,0.024364,356746741.016,0.16285137859007834
51,2017-11-14,668843188.656,0.025797000000000004,46429195.963,0.16033930803571428
52,2017-11-15,677101132.81,0.026116000000000004,51744248.3128,0.16058604751131222
53,2017-11-16,689219315.6889999,0.026583,61825795.3375,0.16246930248306998
54,2017-11-17,703724822.5189999,0.027143,115083117.24,0.1641885081081081
55,2017-11-18,663657741.63,0.025596999999999998,117682013.955,0.1624069375
56,2017-11-19,680416226.305,0.026243,50836557.0819,0.1655065282167043
57,2017-11-20,729906292.4410001,0.028151999999999996,332733193.153,0.1659676342182891
58,2017-11-21,767117774.863,0.029587000000000002,115178829.88200001,0.1684566771217712
59,2017-11-22,736308034.1760001,0.028399,58731150.8052,0.16393293617021276
60,2017-11-23,739955896.762,0.02854,63033634.6725,0.1681875505154639
61,2017-11-24,710552288.457,0.027406,60885321.6951,0.16594428418803417
62,2017-11-25,734365581.883,0.028324000000000002,56702989.4647,0.1675215467479675
63,2017-11-26,789142246.1439999,0.030437,81999172.8277,0.16775172997416019
64,2017-11-27,949423396.227,0.036619,248551306.604,0.16763395387149918
65,2017-11-28,1312609800.34,0.050627,361626658.441,0.1698675189701897
66,2017-11-29,3065480351.3,0.11823499999999999,722991386.435,0.16322533359497646
67,2017-11-30,2461256805.93,0.09493,1439135957.91,0.1693731933478396
68,2017-12-01,3023666820.01,0.116622,2857211194.67,0.17107960162601626
69,2017-12-02,3412858076.35,0.131633,919464224.767,0.16824837814014987
70,2017-12-03,3431473712.37,0.132351,755702161.038,0.1694891364097363
71,2017-12-04,3410602420.99,0.131546,4337070442.85,0.17056447326589594
72,2017-12-05,3516358941.98,0.135625,3911611136.7,0.17054854548346055
73,2017-12-06,3286204336.41,0.126748,2506608852.05,0.1716696780758557
74,2017-12-07,3053327389.17,0.11776600000000001,2273088469.72,0.1718857909090909
75,2017-12-08,2751951121.35,0.10614200000000001,1683236055.37,0.1709237812814492
76,2017-12-09,2975001708.9,0.114745,1120676230.06,0.17243930862592113
77,2017-12-10,3105907488.03,0.11979400000000001,626919827.581,0.171948452987013
78,2017-12-11,2824158012.39,0.108927,1570034525.44,0.17197844609025145
79,2017-12-12,3141764626.22,0.12117699999999999,1928367014.86,0.17180203156675355
80,2017-12-13,3467460486.77,0.133739,2197540173.18,0.17189590210210212
