date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses
2014-11-11,,,6304182.52025,0.001794,12534.0,,
2014-11-12,,,6171876.18881,0.001755,15430.0,,
2014-11-13,,,6573049.22253,0.001868,17376.0,,
2014-11-14,,,6291738.03386,0.001787,10411.0,,
2014-11-15,,,6057763.74384,0.00172,5382.0,,
2014-11-16,,,5704120.13073,0.001618,5267.0,,
2014-11-17,,,5778088.80224,0.001638,8443.0,,
2014-11-18,,,5681172.71186,0.00161,16762.0,,
2014-11-19,,,4778234.38243,0.001352,16849.0,,
2014-11-20,,,5479815.12209,0.001549,14782.0,,
2014-11-21,,,5624407.32054,0.001589,10260.0,,
2014-11-22,,,5540259.18187,0.001565,35206.0,,
2014-11-23,,,6409773.48268,0.00181,42071.0,,
2014-11-24,,,7662847.8467,0.002164,13496.0,,
2014-11-25,,,6929244.1412,0.001957,14659.0,,
2014-11-26,,,6729283.52113,0.0019,32114.0,,
2014-11-27,,,7576153.1944,0.002139,544484.0,,
2014-11-28,,,12147678.9532,0.003429,209843.0,,
2014-11-29,,,9956932.37604,0.00281,109351.0,,
2014-11-30,,,8930927.681,0.002521,61162.0,,
2014-12-01,,,7834052.44156,0.002211,73122.0,,
2014-12-02,,,9002640.64384,0.002541,48024.0,,
2014-12-03,,,8535530.62958,0.002409,23620.0,,
2014-12-04,,,8415729.0,0.002375,27557.0,,
2014-12-05,,,8415055.12479,0.002374,20562.0,,
2014-12-06,,,8350845.42584,0.002356,31683.0,,
2014-12-07,,,8533310.04208,0.002407,23877.0,,
2014-12-08,,,8261405.98974,0.00233,34383.0,,
2014-12-09,,,8295260.89996,0.002339,32197.0,,
2014-12-10,,,7982282.65544,0.002251,38567.0,,
2014-12-11,,,8608740.8147,0.002427,44075.0,,
2014-12-12,,,9059774.36119,0.002554,29877.0,,
2014-12-13,,,8953397.16255,0.002524,21918.0,,
2014-12-14,,,9009995.93414,0.002539,27160.0,,
2014-12-15,,,8779877.10256,0.002474,43740.0,,
2014-12-16,,,9130919.89538,0.002573,259325.0,,
2014-12-17,,,11573914.3428,0.003261,883715.0,,
2014-12-18,,,14662669.9203,0.00413,1247810.0,,
2014-12-19,,,21592613.168,0.00608,2205890.0,,
2014-12-20,,,20136104.6571,0.005669,736524.0,,
2014-12-21,,,20909360.8329,0.005886,356552.0,,
2014-12-22,,,21047486.7318,0.005925,329485.0,,
2014-12-23,,,20986780.3552,0.005907,219787.0,,
2014-12-24,,,20516166.3862,0.005774,158568.0,,
2014-12-25,,,18130256.9624,0.005102,244758.0,,
2014-12-26,,,20570831.4785,0.005788,125258.0,,
2014-12-27,,,22019363.8105,0.006195,88666.0,,
2014-12-28,,,21348949.081,0.006005,117923.0,,
2014-12-29,,,20641176.2642,0.005805,93475.0,,
2014-12-30,,,19882029.2923,0.005591,97500.0,,
2014-12-31,,,19488333.1728,0.005479,42091.0,,
2015-01-01,,,19626695.8624,0.005517,20514.0,,
2015-01-02,,,19348689.7406,0.005438,55381.0,,
2015-01-03,,,19474089.0467,0.005473,135921.0,,
2015-01-04,,,16272918.9538,0.004572,137593.0,,
2015-01-05,,,15742660.5664,0.004422,144416.0,,
2015-01-06,,,17692544.2466,0.004969,73403.0,,
2015-01-07,,,17706257.4186,0.004972,84601.0,,
2015-01-08,,,18817219.434,0.005283,222723.0,,
2015-01-09,,,19799284.5841,0.005557,83886.0,,
2015-01-10,,,20046797.418,0.005625,123545.0,,
2015-01-11,,,18460915.867,0.005179,40552.0,,
2015-01-12,,,17967641.3331,0.005039,60808.0,,
2015-01-13,,,17361411.5194,0.004868,131331.0,,
2015-01-14,,,14340123.8907,0.00402,181567.0,,
2015-01-15,,,15456685.7475,0.004332,196676.0,,
2015-01-16,,,17775062.1669,0.00498,129665.0,,
2015-01-17,,,15588256.8954,0.004366,39285.0,,
2015-01-18,,,16606299.9894,0.00465,54344.0,,
2015-01-19,,,16985383.8476,0.004755,57052.0,,
2015-01-20,,,17169861.6428,0.004804,35159.0,,
2015-01-21,,,17052976.5137,0.00477,65656.0,,
2015-01-22,,,17838694.8384,0.004988,59947.0,,
2015-01-23,,,17590951.7058,0.004916,42575.0,,
2015-01-24,,,17451054.337,0.004875,59006.0,,
2015-01-25,,,18013063.2129,0.00503,69844.0,,
2015-01-26,,,17218227.2797,0.004806,148296.0,,
2015-01-27,,,16866086.0934,0.004706,92001.0,,
2015-01-28,,,17252560.4298,0.004812,30636.0,,
2015-01-29,,,17570966.7366,0.004899,92086.0,,
2015-01-30,,,16314463.1035,0.004546,41892.0,,
2015-01-31,,,15954838.2833,0.004445,24903.0,,
2015-02-01,,,15531818.4573,0.004325,70975.0,,
2015-02-02,,,14861115.4866,0.004137,28423.0,,
2015-02-03,,,14947865.088,0.00416,38689.0,,
2015-02-04,,,13480370.6996,0.003751,33568.0,,
2015-02-05,,,13538277.5256,0.003765,48565.0,,
2015-02-06,,,14606827.0536,0.00406,68194.0,,
2015-02-07,,,13736375.1124,0.003817,15482.0,,
2015-02-08,,,13785158.023,0.00383,20383.0,,
2015-02-09,,,13442893.557,0.003734,23287.0,,
2015-02-10,,,13115673.6999,0.003641,30401.0,,
2015-02-11,,,12804884.0472,0.003554,20839.0,,
2015-02-12,,,12681384.8571,0.003518,22950.0,,
2015-02-13,,,12347556.7259,0.003424,20250.0,,
2015-02-14,,,12889597.9817,0.003573,27228.0,,
2015-02-15,,,13336392.1242,0.003696,29545.0,,
2015-02-16,,,11887970.1612,0.003294,19822.0,,
2015-02-17,,,11917643.4766,0.003302,10247.0,,
2015-02-18,,,12114511.1025,0.003356,11492.0,,
2015-02-19,,,11413002.4106,0.003161,8162.0,,
2015-02-20,,,11636692.5158,0.003223,3263.0,,
2015-02-21,,,11623490.4628,0.003218,3103.0,,
2015-02-22,,,11557691.2828,0.0032,14027.0,,
2015-02-23,,,10227617.8256,0.002831,6966.0,,
2015-02-24,,,11235076.2236,0.00311,9284.0,,
2015-02-25,,,11279722.9526,0.003121,11098.0,,
2015-02-26,,,11447660.5098,0.003167,14216.0,,
2015-02-27,,,11269492.2858,0.003117,27445.0,,
2015-02-28,,,11444814.3916,0.003165,12332.0,,
2015-03-01,,,11024033.9479,0.003047,17782.0,,
2015-03-02,,,10059142.5574,0.00278,28398.0,,
2015-03-03,,,10747202.3776,0.002969,32142.0,,
2015-03-04,,,10278554.0152,0.002838,22570.0,,
2015-03-05,,,10414851.5334,0.002874,25407.0,,
2015-03-06,,,10853010.6423,0.002994,22390.0,,
2015-03-07,,,10708769.4208,0.002953,7589.0,,
2015-03-08,,,10689251.2001,0.002947,12794.0,,
2015-03-09,,,10736410.4341,0.002958,29030.0,,
2015-03-10,,,10530882.1465,0.0029,17921.0,,
2015-03-11,,,10664453.843,0.002936,21507.0,,
2015-03-12,,,10641373.521,0.002929,42002.0,,
2015-03-13,,,11250218.5221,0.003096,13470.0,,
2015-03-14,,,10765626.5189,0.002962,15790.0,,
2015-03-15,,,10766244.3308,0.002961,7251.0,,
2015-03-16,,,10928633.215,0.003004,29363.0,,
2015-03-17,,,11445471.6517,0.003145,12128.0,,
2015-03-18,,,10923199.1748,0.003,15106.0,,
2015-03-19,,,9705383.18779,0.002665,25187.0,,
2015-03-20,,,12072710.9099,0.002817,14655.0,,
2015-03-21,,,11982209.5874,0.002794,26725.0,,
2015-03-22,,,12832152.0075,0.002992,40729.0,,
2015-03-23,,,13805469.9417,0.003218,91492.0,,
2015-03-24,,,13804124.0449,0.003217,41355.0,,
2015-03-25,,,12666708.0245,0.002952,24844.0,,
2015-03-26,,,12585802.2857,0.002933,15682.0,,
2015-03-27,,,12674401.4503,0.002952,25115.0,,
2015-03-28,,,13200451.0649,0.003075,26230.0,,
2015-03-29,,,12706286.9747,0.002959,6928.0,,
2015-03-30,,,13086908.449,0.003047,29998.0,,
2015-03-31,,,11744357.1974,0.002734,37060.0,,
2015-04-01,,,12351391.8088,0.002874,10523.0,,
2015-04-02,,,12045798.8562,0.002803,16448.0,,
2015-04-03,,,11463708.3143,0.002667,15430.0,,
2015-04-04,,,11898684.2587,0.002767,9276.0,,
2015-04-05,,,11564765.6684,0.002689,12082.0,,
2015-04-06,,,11471585.9513,0.002667,11075.0,,
2015-04-07,,,11066818.8104,0.002572,37000.0,,
2015-04-08,,,12916883.9734,0.002689,19430.0,,
2015-04-09,,,13012101.5191,0.002708,14530.0,,
2015-04-10,,,12732617.9033,0.002649,18291.0,,
2015-04-11,,,12684058.1606,0.002639,26596.0,,
2015-04-12,,,13345969.4821,0.002776,99750.0,,
2015-04-13,,,13620424.19,0.002833,12501.0,,
2015-04-14,,,13062714.4849,0.002716,10358.0,,
2015-04-15,,,12773527.0,0.002655,7342.0,,
2015-04-16,,,12854575.3505,0.002671,8689.0,,
2015-04-17,,,13295900.2225,0.002763,11959.0,,
2015-04-18,,,12973782.2465,0.002696,10026.0,,
2015-04-19,,,13191876.6331,0.002741,23255.0,,
2015-04-20,,,12924092.1365,0.002685,8072.0,,
2015-04-21,,,12923470.7049,0.002684,14345.0,,
2015-04-22,,,13302652.9496,0.002762,7432.0,,
2015-04-23,,,12798217.1095,0.002657,9866.0,,
2015-04-24,,,13244396.5508,0.002749,6647.0,,
2015-04-25,,,12769508.2236,0.00265,5959.0,,
2015-04-26,,,12802851.6121,0.002656,8844.0,,
2015-04-27,,,12741341.4116,0.002643,13546.0,,
2015-04-28,,,12985791.4015,0.002693,9069.0,,
2015-04-29,,,12692797.0019,0.002632,15415.0,,
2015-04-30,,,12406755.481,0.002573,10060.0,,
2015-05-01,,,13189729.167,0.002735,5405.0,,
2015-05-02,,,12767170.8272,0.002646,10689.0,,
2015-05-03,,,13004597.1629,0.002695,6849.0,,
2015-05-04,,,12917605.193,0.002677,4015.0,,
