,LTC,,,,,ETH,,,,,ETC,,,,,DASH,,,,,BTC,,,,
date,marketcap(USD),price(USD),exchangeVolume(USD),fees,txVolume(USD),marketcap(USD),price(USD),exchangeVolume(USD),fees,txVolume(USD),marketcap(USD),price(USD),exchangeVolume(USD),fees,txVolume(USD),marketcap(USD),price(USD),exchangeVolume(USD),fees,txVolume(USD),marketcap(USD),price(USD),exchangeVolume(USD),fees,txVolume(USD)
2016-08-11,175199127.209,3.72,2374230,21.46853302,23240472.1057,1006333026.03,12.14,17505000,32.0867216427,71334397.7818,142578347.546,1.72,17263000,11.3354066707,14601996.2574,69542949.6715,10.44,534511,11.38181756,2115270.60381,9359761632,592.12,74514400,79.92226711,783284715.173
2016-08-12,176063977.898,3.74,2025430,20.26279663,15399704.9542,969208462.657,11.69,13690100,30.1998667709,41713839.9514,152472596.584,1.84,15418800,10.4003020861,16869159.43,73889716.4837,11.09,2030400,12.91240586,2622624.55352,9308325712.6,588.8,69218000,70.76200713,830142739.401
2016-08-13,174946591,3.71,2473190,22.76307823,22533686.8572,976451393.191,11.77,7539490,25.0778138471,42667977.4534,154482327.85,1.86,3822490,9.74120400256,2563119.98449,83676294.1348,12.56,1847650,13.06910554,2449231.27945,9286700796.86,587.36,43563000,62.74827301,607966260.994
2016-08-14,175271668.8,3.72,2655030,28.26766028,12830026.5553,961363157.673,11.58,8680160,24.1981188808,26141303.7207,154932588.891,1.87,6985300,24.4133446356,5568803.04803,85476786.0262,12.82,3708120,18.91952284,4300925.3375,9259941203.7,585.59,60851100,61.62650466,586428340.906
2016-08-15,171872717.095,3.65,3314040,17.44992106,21309455.1019,929646905.241,11.2,7500840,27.1551555564,25505524.8679,160200121.086,1.93,7282060,9.91306561228,6467181.46229,96819142.7459,14.52,3240540,14.69679244,2554838.28684,9022116793,570.49,57262300,68.34053066,854450706.149
2016-08-16,169128047.168,3.59,2302180,17.12510752,21691660.1949,932604861.225,11.23,7051510,31.1642849287,15347731.0682,154988019.941,1.87,4062150,13.2951076501,4682299.67984,88250214.3776,13.23,2724180,15.00756142,1645989.87323,8971615667.79,567.24,58405200,83.09112751,1037453247.71
2016-08-17,172082422.458,3.65,1830120,15.26655136,21468200.7264,924921694.259,11.13,8833760,28.7017390128,31153302.8006,154325754.276,1.86,5087980,9.6855644456,4771098.33628,86129302.6263,12.91,1054880,14.12304358,1360550.6722,9138807556.44,577.76,54443000,73.73160399,810158514.031
2016-08-18,169665300.499,3.6,1645410,13.62909217,13675027.8279,893139291.752,10.75,6935800,36.0614908017,22025476.9581,144394426.118,1.74,4469650,8.16487811713,5456370.82669,83114088.171,12.45,2019880,15.4500023,2035781.62032,9075837995.28,573.71,59896600,76.47075341,970345701.658
2016-08-19,170523437.092,3.61,1433570,14.53560948,10394343.2091,893697474,10.75,5390850,29.8323587496,16084901.4602,139460031.419,1.68,6186480,8.37700998914,4631223.62417,92362775.8215,13.83,2879380,17.80833786,3252570.59079,9086904228.12,574.34,50631600,80.79961253,854045658.641
2016-08-20,170175454.848,3.61,1642330,15.32649443,10343241.2415,893945067.644,10.75,7443540,26.6076953257,28173817.5186,148388470.368,1.78,3315060,8.53825856974,2854549.96736,91841107.6336,13.75,1451660,13.31974339,2201529.50535,9115458086.79,576.08,45301400,61.21304534,907560200.36
2016-08-21,170678858,3.62,1321380,16.21256975,10878768.2216,936041318.09,11.25,4355660,29.0174424724,75489872.5329,145709562.209,1.75,1866780,8.24494349212,1872048.74775,87479343.5377,13.09,1177950,10.91175868,1088970.92007,9209336414.14,581.94,38299400,50.66277505,555942850.703
2016-08-22,170839646.104,3.62,2685030,24.68644398,15102146.0494,931552654.13,11.19,6588920,29.9094560932,37021185.2663,143824239.928,1.73,4757220,9.55948216087,16579638.755,89619354.6334,13.41,1409370,13.74217111,2082674.69205,9200547372.81,581.31,72844000,65.77382642,944043919.649
2016-08-23,172942886.229,3.66,12154100,22.23848336,48037676.9667,927723983.75,11.14,6489380,72.1185708616,91910391.7037,139400589.481,1.67,6292880,9.33990499448,7495221.57491,95927459.5604,14.35,1404690,14.88906599,1448918.8022,9288031418.09,586.77,85349200,67.65790776,1013981529.17
2016-08-24,185484020.627,3.93,4425210,23.68146168,29860267.1383,917703451.495,11.02,4423420,30.0032587804,18000816.7814,134322288.819,1.61,6191350,8.89163437492,7840440.69739,90188698.2884,13.49,797964,20.78688767,1466798.5818,9235862530.83,583.41,56328200,64.62449049,1047184293.5
2016-08-25,182567017.284,3.86,3206370,24.83980985,29243744.1809,919013473.301,11.03,8552380,32.4829039281,13728754.4,120141930.745,1.44,9500860,9.03404699238,6702270.12096,89055329.7327,13.31,935742,17.51890315,1587979.04148,9185611316.72,580.18,136130000,64.61425534,997167143.723
2016-08-26,179514703.655,3.8,2392690,15.80837288,20084757.8519,945868748.681,11.35,5857850,31.5759359478,38355787.796,114012906.049,1.37,6251250,8.24544027371,7194166.13405,82247416.792,12.29,736721,11.3713965,1163391.12992,9148060750.7,577.75,48856800,62.44953714,987897762.846
2016-08-27,180528156.374,3.82,6505780,16.83821218,14820203.1705,941464134.829,11.29,15108400,28.5799392376,13068408.008,119714077.867,1.44,3494870,7.31959516239,7414753.87944,85366414.9165,12.75,2547960,14.57364279,2275054.29107,9175901710.15,579.45,59698300,55.47429433,681979421.733
2016-08-28,176944556,3.74,2380150,13.18509479,16347318.1983,930237706.967,11.15,5303040,25.7272567154,12006959.7789,112471376.932,1.35,4837510,7.45058709034,4291796.01301,84278898.4227,12.59,932715,15.70472516,1293109.92703,9024695840.38,569.83,86301600,48.91366874,564720786.373
2016-08-29,176989281.255,3.74,2610000,14.50479106,17436750.6934,911771427.88,10.92,8130540,29.4068966774,17607529.3152,110337938.857,1.32,6289800,8.09737045277,5868794.33928,82824513.4418,12.36,1761660,18.56591095,2287189.58515,9092787288.55,574.07,110398000,64.37949671,741305846.884
2016-08-30,178672405.668,3.77,2315030,16.25915832,17688782.2729,917558880.443,10.99,7221260,32.2463765944,11298982.5901,104790257.419,1.26,6984970,9.76998073545,26608556.1903,78048242.6041,11.65,761521,16.34518219,1552917.94944,9094638577.03,574.11,70342400,67.63053145,738803446.897
2016-08-31,180311298,3.81,1678550,30.03109598,18278866.6695,939077554.204,11.24,11073700,29.9976642563,15921783.6385,103920167.186,1.24,6098980,9.32275601144,7130675.25867,78880830.4298,11.77,961216,15.67185239,1326547.34409,9150693137.57,577.59,75840896,62.47730836,797970080.938
2016-09-01,180110559.53,3.8,2241890,22.79762745,19491717.542,975571796.412,11.67,24051500,31.7436559422,30292602.7303,99636108.4444,1.19,13501800,11.6239862553,21743906.4189,79730819.7293,11.89,651970,15.41131293,1617169.98325,9119349778.94,575.55,76923400,63.48703333,754401013.692
2016-09-02,182181962.387,3.84,1984050,24.23223528,17356558.1539,1000041147.91,11.96,9368300,45.2298779712,29065564.8364,122222552.388,1.46,6325890,24.8058422257,7785762.45517,76836954.5335,11.46,790593,15.84120089,1725387.85963,9070560778.29,572.41,79910800,57.33859607,671066442.706
2016-09-03,181490285.154,3.83,2484220,19.93034297,15284828.3143,1012602288.08,12.11,13358800,27.1807498054,21571252.8005,117190722.537,1.4,4659540,8.19793091832,10143970.7668,76258724.0568,11.37,1215250,16.58743454,3103291.99918,9121266317.79,575.55,159014000,51.54954056,627491150.181
2016-09-04,184653554.394,3.89,4834060,26.70937663,24919440.3203,982974545.569,11.75,7220550,49.336067762,23398460.5297,111843202.795,1.34,3690740,8.92353716438,5592566.67322,76211448.3723,11.36,966253,13.5404571,1048077.21868,9487711459.32,598.59,97942896,46.63006916,463127302.636
2016-09-05,190631722.055,4.02,4245990,20.8020369,17637704.4052,977252761.966,11.68,5724100,28.6288674638,11993013.4769,122543662.152,1.46,4621750,9.36939327965,24032298.9365,76330748.039,11.36,639547,15.48755321,601958.843427,9653512167.4,608.99,82446800,63.04984857,807244172.304
2016-09-06,188940481.829,3.98,1699160,17.91959982,22847111.5995,981983861.569,11.73,6346330,33.3802667258,16198268.8274,121863866.98,1.46,2566580,9.43950047066,3360728.43174,75769665.1923,11.27,532044,13.71123831,943956.149113,9615134108.65,606.51,78529104,60.65357465,736366604.889
2016-09-07,189350316.393,3.99,1988370,14.49637115,11819701.6882,978909650.873,11.69,6115050,34.199424352,13497186.1568,122967973.176,1.47,2868960,12.1826728811,10090226.1956,73600704.3688,10.94,669651,12.78365663,749744.188218,9680730956.25,610.57,75032400,63.76239601,726473207.42
2016-09-08,188388821.925,3.97,2425520,17.50503373,13583541.7399,967380898.388,11.55,11535000,41.2065397787,23302973.0828,123856222.472,1.48,2554920,11.1667788276,6235315.72187,75890368.4859,11.28,637683,13.09281794,622387.489196,9746205561.87,614.64,86713000,59.60240707,744068005.03
2016-09-09,188998696.096,3.98,1450080,15.15794893,9909540.74323,956597284.021,11.41,6109200,41.8968790074,9450969.76624,118599876.8,1.42,2336300,9.91516777282,2521496.11871,78573598.1462,11.68,453318,13.14200443,482394.917579,9933027509.22,626.35,64550200,63.36822147,838831072.235
2016-09-10,188536390,3.97,661652,19.871216,7097035.99027,977573414.122,11.66,7220300,27.4070633415,9079779.15698,117220745.915,1.4,1485050,8.27238783652,4373322.36949,75404108.8616,11.2,748265,12.58948912,919376.919192,9879925551.87,622.93,45016800,51.15995466,616746335.625
2016-09-11,188420837.495,3.97,2100480,22.9724702,11303574.6664,1024065870.86,12.21,8791180,28.5480457112,13623204.6977,118980288.866,1.42,4152550,9.67886689449,5409497.88848,76894478.7253,11.42,583102,11.65622027,824752.308555,9888923602.17,623.42,73610800,47.43305867,601723148.949
2016-09-12,184100338.343,3.87,2454330,17.40371112,14404955.6016,977072574.298,11.64,7478080,35.0299990119,14137423.8072,112385890.348,1.34,1735650,10.7994536308,2374930.45506,75162763.8499,11.16,1357900,17.08738591,734325.231979,9629872659.96,607.01,72812304,55.92604475,733066997.236
2016-09-13,182178497.874,3.83,2219650,14.51736752,14190383.8505,998017806.649,11.89,11704300,30.3921718439,15061356.0113,110551110.233,1.32,1627740,9.8010423068,2119580.39142,82942834.0731,12.31,775508,13.34540735,713918.212512,9647226545.09,608.03,86920600,68.05656902,789819935.147
2016-09-14,181780434.987,3.82,1322330,11.85366632,10179712.0328,999621270.252,11.9,5694820,36.2993589651,12066099.1352,108293334,1.29,1593070,9.29924322552,1827480.32699,87605947.5216,13,683059,12.4370621,819789.170658,9661265475.67,608.84,47877700,62.36523412,727148369.744
2016-09-15,182299874.57,3.83,1793220,14.11348383,7119080.98794,1002844845,11.94,7309090,36.226955151,9928972.86085,108223173.328,1.29,1366170,9.81620633223,1901612.97224,85920787.674,12.74,592210,11.95423755,638111.771161,9690005483.21,610.59,59464600,59.69619981,627338676.477
2016-09-16,181604772.163,3.82,1663730,11.23797544,7820970.66098,1004826148.45,11.96,17421500,46.9320136472,57502457.0841,107750045.091,1.28,1873990,10.2079734253,1908925.07245,82330412.0708,12.21,519023,11.61901169,573305.166843,9638154464.81,607.25,64963400,63.99372021,860449584.526
2016-09-17,180673966.194,3.8,1568340,16.65600545,6008199.79069,1055875816.57,12.56,7446610,35.2813181503,13911527.2827,111151501,1.32,1030080,10.2155618852,1175576.09944,79052405.8506,11.72,385226,11.91527711,716888.813757,9638882023.09,607.22,37140300,57.63998368,514053573.936
2016-09-18,181574896.76,3.81,1727830,13.12659815,6770141.41595,1067330904.89,12.69,22433300,29.6452623983,22120904.5937,111328400,1.32,1962480,8.74984765735,868091.102898,79424446.372,11.77,378121,13.33694877,309421.453405,9625015191.03,606.28,48679400,53.0225757,537106215.723
2016-09-19,192495317.734,4.04,1606420,11.40446419,8519510.36979,1046617855.88,12.44,13838800,27.6173777105,14988625.5438,110799296.438,1.32,1355970,8.70844566022,2500221.36995,78819830.2392,11.68,548366,12.47486683,547139.396825,9682870506.76,609.87,54796400,66.12043758,674813914.325
2016-09-20,182587260.859,3.83,2263260,13.69148319,4824174.1625,1111937587.93,13.21,31929100,32.8255675989,80402857.7723,106796602.256,1.27,2456390,9.12160375573,3223015.53453,77763659.9474,11.52,447288,12.10539452,437771.895797,9674195580.59,609.25,72710896,68.36086914,940651535.167
2016-09-21,184465858.898,3.87,3853090,15.38202544,11079926.7743,1214934638.04,14.43,28645000,30.1721860638,86924835.6557,104760569.607,1.24,2655260,9.60487143773,3793574.82861,77482260.3912,11.47,639852,14.94303747,737296.109158,9585483263.01,603.59,82776200,64.96509855,778532587.256
2016-09-22,183909986.684,3.86,1445220,11.3512072,6980717.9195,1150453381.57,13.66,27382800,63.1461319383,41879118.3689,103114100.368,1.22,6841360,10.1602801432,6376523.67653,77988538,11.54,462190,11.57001611,528884.71051,9486263004.96,597.28,67085300,62.72699094,967684586.43
2016-09-23,179934012.806,3.77,1572350,11.72040295,5518174.89969,1113317412.29,13.21,9166430,49.0309313726,39478021.2532,105343287.298,1.25,1704280,8.83259414351,1057487.30565,77879136.1664,11.52,346538,13.84429026,600443.924367,9470160456.36,596.2,51067000,60.05767564,845876916.341
2016-09-24,181526027,3.81,2118420,12.3110146,5150202.10322,1122738478.24,13.32,9824880,71.029474726,25973712.333,104482246.24,1.24,876236,7.2090867428,1610758.93827,78099559.3322,11.55,248501,12.53528826,439947.310155,9578627500.7,602.96,35359500,58.95425424,612596897.56
2016-09-25,181257772.861,3.8,1540650,13.94946658,6542283.79874,1083815645.5,12.85,5283440,67.1402010936,56544615.6371,105413295.455,1.25,972037,8.52774287221,966469.78621,77916641.0805,11.52,293042,12.34259745,565339.192166,9576638000.07,602.75,33977800,49.59149659,768873868.938
2016-09-26,181327252.124,3.8,2148250,13.39977867,9473636.72254,1111421548.48,13.17,7213070,115.639205561,18648589.3818,101947902.65,1.21,1228960,8.40547536929,1625327.49438,78198295.7686,11.56,466947,16.6275619,392824.94685,9547035762.09,600.81,59153800,60.52560461,1112203471.38
2016-09-27,184410957.595,3.86,1734250,25.07150725,10707095.5379,1085310848.2,12.86,6831070,98.5407520975,23301071.1577,101304447,1.2,1938500,8.29242966355,6701501.68367,77218960.9983,11.41,437637,14.61189902,733649.856631,9662711680.99,608.02,49422400,62.99270729,729515147.015
2016-09-28,183765324.531,3.85,1905040,12.80551029,6266978.73845,1107378523.85,13.11,10239000,68.1326911274,56458566.4102,100884360.96,1.2,2066680,8.44684937838,4001016.80912,78807298.3227,11.64,380292,10.93324692,987365.81826,9635532143.39,606.24,48722600,64.74431075,1243808817.08
2016-09-29,183230719.668,3.84,1674200,14.32958056,5824804.39066,1122053356.62,13.28,5990630,41.279258006,41362547.8741,105338371.063,1.25,1282790,8.75135836443,1101530.14799,78497914.8601,11.59,627955,16.08275417,1317446.8819,9617251947.65,605.02,55658600,68.53955587,815912621.297
2016-09-30,183588352,3.84,2104930,12.39614965,8418770.26189,1105682861.95,13.08,5950840,40.2590267936,18939702.6947,106872252.802,1.27,745522,9.48030050046,2992277.23676,81527449.0314,12.04,624527,14.47732604,1528868.40168,9629449669.28,605.72,56122400,68.45068728,1184556478.95
2016-10-01,184011016,3.85,1426340,18.95230665,6409473.68712,1116105159.64,13.2,6331160,91.389499898,15717049.8505,106703924.824,1.26,2443730,8.57550220318,4540924.35296,81995961.0248,12.1,599642,16.49866406,1237160.42493,9697495233.37,609.93,56357000,58.7351644,719177196.737
2016-10-02,184216227.708,3.85,1373630,12.52239911,5167890.31632,1114631716.34,13.18,4079660,87.475216666,40756771.4403,100869948,1.19,983089,9.79310273534,999435.589287,79351741.4177,11.71,418786,13.69440743,524778.580063,9762433720.62,613.95,39249800,53.42262056,581455200.474
2016-10-03,184065484.167,3.85,1207110,12.01373554,5813513.4872,1116987194.5,13.2,7458320,65.9275326369,11365377.7441,100993497,1.19,1573360,9.54517571372,1255501.85259,79941370.148,11.79,485966,16.16787394,903173.834032,9716171558.15,610.97,46798300,75.23840275,975534991.87
2016-10-04,183886974.66,3.84,1116870,14.47264139,4844020.31731,1138112938.6,13.45,8348280,85.3677929496,13477534.1865,100717079.026,1.19,1142370,10.1999018901,905957.586563,80547243.2239,11.88,428041,13.61729919,651973.336445,9734523205.88,612.05,49801600,71.03602966,902981767.923
2016-10-05,183461948.081,3.83,1394850,17.96954776,7721306.64812,1124050770.55,13.28,9881370,64.1657444881,17508351.71,98059439.0252,1.16,1992410,10.1848884805,3313370.25588,81855522.7889,12.05,459125,15.13075684,583767.755715,9706592558.17,610.22,68077504,72.77844316,1020320666.97
2016-10-06,184158504,3.85,1415940,14.85874578,5099013.78243,1104050576,13.03,12044800,50.2581089005,16595117.5403,101121165.385,1.19,1017020,7.97922138861,1851622.65477,81833547.3425,12.05,572725,14.19596379,588256.102364,9743565935.93,612.47,56812100,77.72649993,1108561462.26
2016-10-07,184009597.679,3.84,1596220,14.16098841,6083940.81742,1088654915.84,12.85,8933050,53.5697702514,15880533.7998,99059929,1.17,1012830,7.84585330312,1043121.43106,81916449.2039,12.05,540185,14.56848934,788476.535136,9746844280.41,612.61,64071400,72.05178137,1096656616.04
2016-10-08,184814110.062,3.86,1544210,10.26545263,7167661.9741,1074029500.72,12.67,11611200,56.3805619035,18460428.0863,99387010.3729,1.17,988691,7.36226600704,1704174.57172,80748555.6348,11.88,362282,13.84269883,696197.601556,9823297181.02,617.34,42345900,67.51007174,1176475219.19
2016-10-09,183770074.806,3.84,1239070,12.32912598,6883226.54248,1036686064.9,12.22,7208480,60.0235700606,53715078.022,99868683.7778,1.18,397777,7.42762436649,2202180.17829,79751821.6488,11.73,389417,14.02937335,574136.356182,9853669271.45,619.17,39243400,58.27379152,1485852845.13
2016-10-10,182871531.574,3.82,1420790,13.59628968,8568414.49106,1022806851.51,12.06,10809200,54.6366896803,55970644.4453,99404330.3217,1.17,1148440,7.79203941008,4529919.41078,78834747.7297,11.59,342278,16.74079639,942875.701145,9817227457.26,616.82,67481104,67.8353189,1307710358.84
2016-10-11,182022623.194,3.8,2025380,20.01620495,12164297.1676,997763446.087,11.76,11727700,39.1986546124,46428939.0734,97147810.8636,1.15,2255700,8.69062159419,4239551.10769,79518701.6343,11.69,616754,15.91934617,705587.98935,9856736389.01,619.24,103590000,80.75501147,1405523878.11
2016-10-12,183140438.388,3.82,3154520,19.49969847,8958754.35266,1000508396.84,11.78,9694640,44.1864631391,56721123.1129,92883199.3269,1.1,2752650,29.8032578229,7046568.08685,79935617.0551,11.74,535850,16.31335971,524501.683281,10202146705.7,640.87,92370200,68.31244694,1439377030.09
2016-10-13,179749850.064,3.75,3798640,22.65343942,12813514.7597,1011921565.63,11.91,8665190,112.658501136,17503240.293,88210114.5347,1.04,1430120,79.8058415914,2045682.35376,77820007.0044,11.43,351218,13.76528264,765103.03858,10125979214,636.03,61620700,67.12105979,728992966.013
2016-10-14,187520365.728,3.91,2142390,19.98427782,14110039.2284,1018704317.44,11.99,4333510,75.246620265,56691849.5741,85734607.0098,1.01,928586,39.0055062064,3873627.26114,77898477.3287,11.44,434177,14.45196693,764995.663389,10142645386.2,637.01,58144600,68.01350542,1109555867.87
2016-10-15,187322438.837,3.9,1664980,17.51943637,7399664.04645,1015281709.24,11.94,4991840,69.0827230001,17794462.0897,84152830.8449,0.990989,574708,16.1277638467,1048601.84555,78499650.4216,11.52,421471,16.3644911,802877.439648,10196247946.3,640.31,39035400,62.6006372,1900029523.21
2016-10-16,186080504.072,3.88,2160150,15.04266961,7825031.54144,1018924872.79,11.98,3617280,66.9971004116,30777103.741,84390790.021,0.992743,3374640,19.8762925699,1622222.55052,75651490.3963,11.1,421644,14.94228131,817591.000798,10177738085.5,639.08,40298100,57.54846761,1344328817.35
2016-10-17,186859847.987,3.89,1716740,15.97503113,7901966.4916,1017050859.14,11.96,5724440,71.5395033683,37085258.9853,102383105.047,1.2,3167420,22.0000008655,7337306.41753,73877978.5687,10.84,501778,16.34099173,577254.755603,10222376733.1,641.82,58063600,72.44112233,971922249.104
2016-10-18,189756416.914,3.95,1790400,12.62523988,10357509.0741,1021155908.82,12,18864200,96.8632747236,57886384.4252,91011016.2453,1.07,1721510,19.3091776524,1527894.39023,72425425.1518,10.62,622564,17.05014577,762662.914902,10185126082.8,639.41,65546700,77.24037508,1319451990.01
2016-10-19,185234915.25,3.85,2243800,14.68366088,8507970.2712,1072139578.22,12.59,10576200,92.7641216228,10640163.5814,90498108.7429,1.06,1033890,54.3437947558,5360178.31548,69592947.5802,10.2,623278,13.3854053,938789.361502,10165701887.2,638.13,69381696,62.38149631,1059075236.69
2016-10-20,183115881.333,3.81,2417550,12.397683,8051695.73033,1026263877.66,12.05,8170760,54.9449656219,11868763.2044,89578548.0288,1.05,715948,29.2178826189,2199316.27652,70265163.8857,10.3,1118960,15.55069965,869514.370276,10047667701.4,630.66,56957300,89.31863339,1330855789.84
2016-10-21,182037403.457,3.79,2881980,10.1853005,10315774.2504,1033161486.43,12.13,5676920,41.964566913,11162192.4824,88673126.2136,1.04,787404,11.9860130985,9976938.50699,72044393.4587,10.55,1101460,15.25179557,882776.206959,10051633639.7,630.83,55951000,76.08109984,1818169130.25
2016-10-22,183053792.807,3.81,3858130,12.3051335,18305092.0218,1038327142.73,12.18,7583820,27.6596726004,8543321.8741,87351784.8381,1.03,1046830,9.02250931812,1862418.54573,73548154.3118,10.77,1057070,15.45568092,588004.731997,10089613291.6,633.14,78556496,66.62886636,660101513.912
2016-10-23,187060785.832,3.89,3927550,13.53169615,17040797.2011,1033972915.93,12.13,5774660,26.3630368418,6973462.56981,89133789,1.05,548805,9.26888254823,1659560.13902,70855254.1335,10.37,1071280,14.61777791,674489.052447,10480866266.7,657.62,54474600,67.49823388,1053016968.95
2016-10-24,188611491.824,3.92,2999400,16.89679956,11754948.0158,1026942587.44,12.04,5739690,48.590630046,10502341.2661,89368306.4563,1.05,613841,8.86510723503,938559.564187,68066188.0081,9.96,1138230,18.90160329,836257.779079,10474662752.5,657.16,62218200,81.14570038,2205048997.81
2016-10-25,186531561.9,3.87,3154970,16.87727108,10033489.149,1021795017.68,11.97,19316000,43.1961562985,17985861.3947,87676372.9216,1.03,1434440,8.35930129033,3920872.45208,67383387.7428,9.86,1147660,20.02318242,827609.061666,10425337820.2,654,90378800,99.09135171,1825757880.73
